"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","74.125.198.189","10.0.2.15","TLSv1.2","106","Application Data"
"2","0.000027703","10.0.2.15","74.125.198.189","TCP","54","41596  >  443 [ACK] Seq=1 Ack=53 Win=65535 Len=0"
"3","25.559207546","74.125.198.189","10.0.2.15","TLSv1.2","106","Application Data"
"4","25.559228903","10.0.2.15","74.125.198.189","TCP","54","41596  >  443 [ACK] Seq=1 Ack=105 Win=65535 Len=0"
"5","30.576924072","PcsCompu_55:da:e5","RealtekU_12:35:02","ARP","42","Who has 10.0.2.2? Tell 10.0.2.15"
"6","30.577275066","RealtekU_12:35:02","PcsCompu_55:da:e5","ARP","60","10.0.2.2 is at 52:54:00:12:35:02"
"7","50.699835597","74.125.198.189","10.0.2.15","TLSv1.2","176","Application Data, Application Data, Application Data"
"8","50.699853169","10.0.2.15","74.125.198.189","TCP","54","41596  >  443 [ACK] Seq=1 Ack=227 Win=65535 Len=0"
"9","51.854067924","10.0.2.15","74.125.198.189","TLSv1.2","93","Application Data"
"10","51.854797050","74.125.198.189","10.0.2.15","TCP","60","443  >  41596 [ACK] Seq=227 Ack=40 Win=65535 Len=0"
"11","65.144160046","45.253.218.19","192.168.1.107","TCP","174","1679  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"12","65.144475105","RealtekU_12:35:02","Broadcast","ARP","60","Who has 45.253.218.19? Tell 10.0.2.2"
"13","65.153466609","117.2.122.48","192.168.1.107","TCP","174","1680  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"14","65.153956423","RealtekU_12:35:02","Broadcast","ARP","60","Who has 117.2.122.48? Tell 10.0.2.2"
"15","65.154080825","221.160.158.33","192.168.1.107","TCP","174","1681  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"16","65.154446139","RealtekU_12:35:02","Broadcast","ARP","60","Who has 221.160.158.33? Tell 10.0.2.2"
"17","65.154572784","72.103.15.155","192.168.1.107","TCP","174","1682  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"18","65.155019548","RealtekU_12:35:02","Broadcast","ARP","60","Who has 72.103.15.155? Tell 10.0.2.2"
"19","65.155193215","0.57.83.50","192.168.1.107","TCP","174","1683  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"20","65.155531762","RealtekU_12:35:02","Broadcast","ARP","60","Who has 0.57.83.50? Tell 10.0.2.2"
"21","65.155657418","163.166.48.91","192.168.1.107","TCP","174","1684  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"22","65.155972849","RealtekU_12:35:02","Broadcast","ARP","60","Who has 163.166.48.91? Tell 10.0.2.2"
"23","65.156082924","221.136.152.207","192.168.1.107","TCP","174","1685  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"24","65.156384534","RealtekU_12:35:02","Broadcast","ARP","60","Who has 221.136.152.207? Tell 10.0.2.2"
"25","65.156480311","218.39.202.40","192.168.1.107","TCP","174","1686  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"26","65.157103039","RealtekU_12:35:02","Broadcast","ARP","60","Who has 218.39.202.40? Tell 10.0.2.2"
"27","65.178065634","95.15.73.3","192.168.1.107","TCP","174","1687  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"28","65.178828321","RealtekU_12:35:02","Broadcast","ARP","60","Who has 95.15.73.3? Tell 10.0.2.2"
"29","65.193332995","15.160.197.91","192.168.1.107","TCP","174","1688  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"30","65.193643930","RealtekU_12:35:02","Broadcast","ARP","60","Who has 15.160.197.91? Tell 10.0.2.2"
"31","65.193790780","72.202.51.141","192.168.1.107","TCP","174","1689  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"32","65.194149934","RealtekU_12:35:02","Broadcast","ARP","60","Who has 72.202.51.141? Tell 10.0.2.2"
"33","65.194247933","49.224.218.102","192.168.1.107","TCP","174","1690  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"34","65.194532269","RealtekU_12:35:02","Broadcast","ARP","60","Who has 49.224.218.102? Tell 10.0.2.2"
"35","65.194629514","79.96.127.45","192.168.1.107","TCP","174","1691  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"36","65.194972383","RealtekU_12:35:02","Broadcast","ARP","60","Who has 79.96.127.45? Tell 10.0.2.2"
"37","65.195113565","243.39.154.103","192.168.1.107","TCP","174","1692  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"38","65.195426790","36.8.249.236","192.168.1.107","TCP","174","1693  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"39","65.195796869","20.247.71.238","192.168.1.107","TCP","174","1694  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"40","65.196087106","4.157.208.140","192.168.1.107","TCP","174","1695  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"41","65.196372887","45.88.248.3","192.168.1.107","TCP","174","1696  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"42","65.197503891","189.192.190.51","192.168.1.107","TCP","174","1697  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"43","65.198185652","RealtekU_12:35:02","Broadcast","ARP","60","Who has 36.8.249.236? Tell 10.0.2.2"
"44","65.198185770","RealtekU_12:35:02","Broadcast","ARP","60","Who has 20.247.71.238? Tell 10.0.2.2"
"45","65.198185808","RealtekU_12:35:02","Broadcast","ARP","60","Who has 4.157.208.140? Tell 10.0.2.2"
"46","65.198185836","RealtekU_12:35:02","Broadcast","ARP","60","Who has 45.88.248.3? Tell 10.0.2.2"
"47","65.198185864","RealtekU_12:35:02","Broadcast","ARP","60","Who has 189.192.190.51? Tell 10.0.2.2"
"48","65.225046848","234.19.57.247","192.168.1.107","TCP","174","1698  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"49","65.225413477","190.0.20.72","192.168.1.107","TCP","174","1699  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"50","65.225712995","RealtekU_12:35:02","Broadcast","ARP","60","Who has 190.0.20.72? Tell 10.0.2.2"
"51","65.225811595","35.230.158.70","192.168.1.107","TCP","174","1700  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"52","65.226105601","RealtekU_12:35:02","Broadcast","ARP","60","Who has 35.230.158.70? Tell 10.0.2.2"
"53","65.226202639","93.243.50.49","192.168.1.107","TCP","174","1701  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"54","65.226491243","RealtekU_12:35:02","Broadcast","ARP","60","Who has 93.243.50.49? Tell 10.0.2.2"
"55","65.226587208","36.238.74.103","192.168.1.107","TCP","174","1702  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"56","65.226847860","RealtekU_12:35:02","Broadcast","ARP","60","Who has 36.238.74.103? Tell 10.0.2.2"
"57","65.226949577","74.206.223.208","192.168.1.107","TCP","174","1703  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"58","65.227234873","RealtekU_12:35:02","Broadcast","ARP","60","Who has 74.206.223.208? Tell 10.0.2.2"
"59","65.227330585","19.82.71.229","192.168.1.107","TCP","174","1704  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"60","65.227617253","RealtekU_12:35:02","Broadcast","ARP","60","Who has 19.82.71.229? Tell 10.0.2.2"
"61","65.227713473","39.21.95.115","192.168.1.107","TCP","174","1705  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"62","65.228068627","RealtekU_12:35:02","Broadcast","ARP","60","Who has 39.21.95.115? Tell 10.0.2.2"
"63","65.228164116","206.8.72.247","192.168.1.107","TCP","174","1706  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"64","65.228448642","RealtekU_12:35:02","Broadcast","ARP","60","Who has 206.8.72.247? Tell 10.0.2.2"
"65","65.228543600","150.247.178.152","192.168.1.107","TCP","174","1707  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"66","65.229059037","RealtekU_12:35:02","Broadcast","ARP","60","Who has 150.247.178.152? Tell 10.0.2.2"
"67","65.252173975","254.150.121.49","192.168.1.107","TCP","174","1708  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"68","65.255294316","241.176.57.150","192.168.1.107","TCP","174","1709  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"69","65.257834178","57.238.238.15","192.168.1.107","TCP","174","1710  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"70","65.258470884","RealtekU_12:35:02","Broadcast","ARP","60","Who has 57.238.238.15? Tell 10.0.2.2"
"71","65.259042015","167.79.241.112","192.168.1.107","TCP","174","1711  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"72","65.259632269","RealtekU_12:35:02","Broadcast","ARP","60","Who has 167.79.241.112? Tell 10.0.2.2"
"73","65.262577517","216.213.93.72","192.168.1.107","TCP","174","1712  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"74","65.262868242","RealtekU_12:35:02","Broadcast","ARP","60","Who has 216.213.93.72? Tell 10.0.2.2"
"75","65.279899437","62.238.165.206","192.168.1.107","TCP","174","1713  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"76","65.280217310","RealtekU_12:35:02","Broadcast","ARP","60","Who has 62.238.165.206? Tell 10.0.2.2"
"77","65.320507366","83.248.228.238","192.168.1.107","TCP","174","1714  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"78","65.320999129","RealtekU_12:35:02","Broadcast","ARP","60","Who has 83.248.228.238? Tell 10.0.2.2"
"79","65.323691702","242.165.37.241","192.168.1.107","TCP","174","1715  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
